ID,Name,Nickname,Description,Tagline,JSON Persona ID,Archetype,Archetype Strength,Secondary Archetype,Variant,Version,Source Type,Organization ID,Instant Read,Age,Gender,Race,Location,Education,Occupation,Income,Family/Marital Status,Religion,Politics,Dimensions - Attribution Orientation,Dimensions - Just World Belief,Dimensions - Authoritarianism,Dimensions - Institutional Trust Corporations,Dimensions - Institutional Trust Medical,Dimensions - Institutional Trust Legal,Dimensions - Institutional Trust Insurance,Dimensions - Litigation Attitude,Dimensions - Leadership Tendency,Dimensions - Cognitive Style,Dimensions - Damages Orientation,Life Experiences,Characteristic Phrases,Phrases You'll Hear,Speech Patterns,Voir Dire Responses,Deliberation Behavior,Archetype Deliberation Behavior,Leadership Level,Communication Style,Persuasion Susceptibility,Vocabulary Level,Sentence Style,Response Tendency,Engagement Style,Archetype Verdict Lean,Archetype What They Believe,Archetype How To Spot,Verdict Prediction - Liability Prob,Verdict Prediction - Damages,Verdict Prediction - Role,Strike or Keep - Plaintiff,Strike or Keep - Defense,Plaintiff Danger Level,Defense Danger Level,Cause Challenge,Strategy Guidance,Simulation Params,Case Type Modifiers,Regional Modifiers,Attributes,Legacy Signals,Persuasion Levers,Pitfalls,Signal Weights Count,Signal Weights Details,Is Active,Created,Updated
caeaba16-d406-4e6f-80b1-18e8800a5931,"American-Dream Ivan","American-Dream Ivan","Immigrated from Soviet Ukraine in 1985 with almost nothing. Engineering degree wasn't recognized, so started as HVAC technician. Built company from scratch, now employs 25 people. Sees America as land of unlimited opportunity for those willing to work. Views lawsuits as weakness.","I came to America with $50. Built a business. What's your excuse?",BOOT_07,bootstrapper,1,,,2,system,,"Immigrant success story. Extreme 'no excuses' mentality.",61,male,white (Eastern European),"Schaumburg, IL (suburban)","Bachelor's (foreign, not recognized)","HVAC Business Owner",180000,"Married 35 years, 2 adult kids (both college-educated)","Eastern Orthodox","Republican",,,,,,,,,,,,,,"I came here with $50 in my pocket; In Soviet Union, you had real problems; Americans don't know how good they have it; Work hard, don't complain - that's how you succeed; Everybody wants something for nothing now",,,,"Will argue plaintiff contributed to their own injury. Will minimize damages ('that's not worth a million dollars'). Will resist emotional appeals. Often vocal and may try to lead.",,,,,,,,"STRONG DEFENSE","People are responsible for their own outcomes. Injuries happen because people weren't careful. Lawsuits are usually money grabs. Corporations create jobs and shouldn't be punished for every accident.","Stories about overcoming hardship without help or lawsuits; Phrases like 'personal responsibility,' 'nobody forced them,' 'common sense'; Skepticism about lawsuits, insurance costs, 'lottery justice'; Business owner, sales, management, or self-employed; Often (not always) conservative, religious, rural/suburban",0.15,"Absolute minimum. 'This is nothing compared to real suffering.'","Compelling storyteller. His success story undercuts sympathy.","MUST STRIKE. His story will dominate deliberations.","KEEP. Most effective Bootstrapper type.",5,1,,,,,,,,,,3,"Business Professional(POSITIVE:0.80); Bachelor's Degree(POSITIVE:0.70); Age 51+(POSITIVE:0.70)",true,2026-01-28T14:05:24.950Z,2026-01-29T16:46:29.464Z
c5fa088d-4d0a-4c39-9515-1638d345db5d,"Bootstrap Bob","Bootstrap Bob","Worked way through college selling cars. Built 30-year career in sales through 'hard work and showing up.' Father was a machinist who worked through chronic back pain and never sued anyone. Sister filed bankruptcy from credit card debt - Bob sees this as 'poor choices.' Has never sued anyone and is proud of it.","I built everything I have. Nobody handed me anything.",BOOT_01,bootstrapper,1,,,2,system,,"Classic self-made man. Will blame plaintiff for not being careful.",58,male,white,"Plano, TX (suburban)","Bachelor's - Business","Regional Sales Manager",145000,"Married 32 years, 3 adult kids","Baptist (active)","Republican",,,,,,,,,,,,,,"Nobody put a gun to their head; At the end of the day, you're responsible for yourself; Play stupid games, win stupid prizes; There's two sides to every story; I've never sued anyone and never will",,,,"Will argue plaintiff contributed to their own injury. Will minimize damages ('that's not worth a million dollars'). Will resist emotional appeals. Often vocal and may try to lead.",,,,,,,,"STRONG DEFENSE","People are responsible for their own outcomes. Injuries happen because people weren't careful. Lawsuits are usually money grabs. Corporations create jobs and shouldn't be punished for every accident.","Stories about overcoming hardship without help or lawsuits; Phrases like 'personal responsibility,' 'nobody forced them,' 'common sense'; Skepticism about lawsuits, insurance costs, 'lottery justice'; Business owner, sales, management, or self-employed; Often (not always) conservative, religious, rural/suburban",0.25,"Will push for minimum. Economic only, heavily reduced.","Vocal advocate for defense. May try to lead.","MUST STRIKE. Textbook defense juror.","KEEP. Dream juror who will do your work for you.",5,1,,,,,,,,,,3,"Business Professional(POSITIVE:0.80); Bachelor's Degree(POSITIVE:0.70); Age 51+(POSITIVE:0.70)",true,2026-01-28T14:05:24.932Z,2026-01-29T16:46:29.491Z
f194317e-ecfa-484d-a5d6-2b20e2172fd0,"By-The-Book Bill","By-The-Book Bill","20 years Army, retired as Sergeant First Class. Now works security. Values discipline, rules, and following procedures. Believes most injuries happen because someone didn't follow the rules. BUT: If defendant clearly violated rules/regulations, may hold them accountable.","Follow the rules and you won't get hurt. Simple as that.",BOOT_05,bootstrapper,1,,,2,system,,"Military/law enforcement. If plaintiff violated any rule, case over.",52,male,Latino,"El Paso, TX (suburban)","Some college - Criminal Justice","Retired Army Sergeant / Security Guard",65000,"Married 25 years, 3 kids","Catholic","Republican",,,,,,,,,,,,,,"If you follow the rules, you won't have problems; In the Army, we had standards for a reason; Did they follow proper procedure?; Discipline prevents accidents; What were they thinking?",,,,"Will argue plaintiff contributed to their own injury. Will minimize damages ('that's not worth a million dollars'). Will resist emotional appeals. Often vocal and may try to lead.",,,,,,,,"STRONG DEFENSE","People are responsible for their own outcomes. Injuries happen because people weren't careful. Lawsuits are usually money grabs. Corporations create jobs and shouldn't be punished for every accident.","Stories about overcoming hardship without help or lawsuits; Phrases like 'personal responsibility,' 'nobody forced them,' 'common sense'; Skepticism about lawsuits, insurance costs, 'lottery justice'; Business owner, sales, management, or self-employed; Often (not always) conservative, religious, rural/suburban",0.4,"Moderate. Respects proper compensation if rules were broken.","Focuses on whether procedures were followed by BOTH sides.","MAY KEEP if defendant clearly violated rules/regulations. He respects standards.","KEEP if plaintiff violated any safety rule. CONSIDER STRIKING if your client broke clear rules.",5,1,,,,,,,,,,1,"Age 51+(POSITIVE:0.70)",true,2026-01-28T14:05:24.945Z,2026-01-29T16:46:29.463Z
595f1bae-c95b-4f65-ad4b-da0b09d91f15,"Doctors-Are-Heroes Diana","Doctors-Are-Heroes Diana","Father was surgeon, mother was nurse. Grew up hearing about the 'heroes' in medicine. Father was sued twice despite 'saving thousands of lives' - both cases dismissed but cost money and stress. Works in pharmaceutical sales, reinforcing medical industry loyalty. Will defend healthcare providers instinctively.","My father saved thousands of lives and still got sued twice.",BOOT_10,bootstrapper,1,,,2,system,,"Medical family. Will defend doctors/hospitals almost unconditionally.",44,female,white,"Wellesley, MA (suburban)","MBA","Pharmaceutical Sales Rep",165000,"Married, 2 kids","Episcopal","Republican",,,,,,,,,,,,,,"My father saved thousands of lives and still got sued twice; Patients don't follow instructions and then blame doctors; Medicine isn't perfect - bad outcomes aren't always malpractice; Do you know what malpractice insurance costs?; Everyone thinks they know better than their doctor because of Google",,,,"Will argue plaintiff contributed to their own injury. Will minimize damages ('that's not worth a million dollars'). Will resist emotional appeals. Often vocal and may try to lead.",,,,,,,,"STRONG DEFENSE","People are responsible for their own outcomes. Injuries happen because people weren't careful. Lawsuits are usually money grabs. Corporations create jobs and shouldn't be punished for every accident.","Stories about overcoming hardship without help or lawsuits; Phrases like 'personal responsibility,' 'nobody forced them,' 'common sense'; Skepticism about lawsuits, insurance costs, 'lottery justice'; Business owner, sales, management, or self-employed; Often (not always) conservative, religious, rural/suburban",0.2,"Low. Sympathy is with medical providers.","Will educate jury about how 'unfair' medical lawsuits are.","CHALLENGE FOR CAUSE in med mal. Strike in other cases.","KEEP. Especially valuable in medical cases.",5,1,,,,,,,,,,1,"Age 31-50(POSITIVE:0.70)",true,2026-01-28T14:05:24.954Z,2026-01-29T16:46:29.495Z
c171f8d2-722b-44fc-bfb6-ceb0041b5f50,"Fox-News Frank","Fox-News Frank","Union plumber for 35 years, now retired. Despite union background, has become very conservative. Watches Fox News several hours daily. Has absorbed narrative about 'lawsuit abuse' and 'tort reform.' Regularly cites stories about ridiculous lawsuits (some urban legends). Believes trial lawyers are Democrats destroying America.","I've seen the stories about ridiculous lawsuits. This system is broken.",BOOT_09,bootstrapper,1,,,2,system,,"Conservative media consumer. Primed to see all lawsuits as frivolous.",64,male,white,"Phoenix, AZ (suburban)","High school","Retired Plumber (union)",55000,"Married 40 years, 3 kids, 6 grandkids","Catholic","Republican (watches Fox News daily)",,,,,,,,,,,,,,"Did you see that story about the woman who sued over hot coffee?; Trial lawyers own the Democrat party; These lawsuits are why everything costs so much; Tort reform would fix this country; Personal responsibility is dead",,,,"Will argue plaintiff contributed to their own injury. Will minimize damages ('that's not worth a million dollars'). Will resist emotional appeals. Often vocal and may try to lead.",,,,,,,,"STRONG DEFENSE","People are responsible for their own outcomes. Injuries happen because people weren't careful. Lawsuits are usually money grabs. Corporations create jobs and shouldn't be punished for every accident.","Stories about overcoming hardship without help or lawsuits; Phrases like 'personal responsibility,' 'nobody forced them,' 'common sense'; Skepticism about lawsuits, insurance costs, 'lottery justice'; Business owner, sales, management, or self-employed; Often (not always) conservative, religious, rural/suburban",0.25,"Minimal. Sees any large award as 'lawsuit lottery.'","Will cite media stories as evidence of lawsuit abuse.","STRIKE. He's been programmed to reject your case.","KEEP. Reliable defense vote.",5,1,,,,,,,,,,1,"Age 51+(POSITIVE:0.70)",true,2026-01-28T14:05:24.953Z,2026-01-29T16:46:29.467Z
ca894fbc-f092-4499-af4b-7ee6f742ee03,"MAGA Mike","MAGA Mike","Built car dealership from single lot to three locations. Been sued twice by employees and customers - considers both frivolous. Active in local Republican politics. Believes tort reform is essential. Gets news from Fox News and conservative talk radio. Sees trial lawyers as Democrats who hurt business.","Lawsuits are killing American business. Trial lawyers are parasites.",BOOT_03,bootstrapper,1,,,2,system,,"Trump voter, Fox News watcher. Sees lawsuits as liberal attack on business.",61,male,white,"Fort Worth, TX (suburban)","Some college","Auto Dealership Owner (retired)",125000,"Married 38 years, 4 kids","Non-denominational Christian","Republican (strong Trump supporter)",,,,,,,,,,,,,,"Trial lawyers are destroying this country; Everyone's looking for a payday; This is lawsuit lottery; Regulations are strangling business; In my day, we handled things ourselves",,,,"Will argue plaintiff contributed to their own injury. Will minimize damages ('that's not worth a million dollars'). Will resist emotional appeals. Often vocal and may try to lead.",,,,,,,,"STRONG DEFENSE","People are responsible for their own outcomes. Injuries happen because people weren't careful. Lawsuits are usually money grabs. Corporations create jobs and shouldn't be punished for every accident.","Stories about overcoming hardship without help or lawsuits; Phrases like 'personal responsibility,' 'nobody forced them,' 'common sense'; Skepticism about lawsuits, insurance costs, 'lottery justice'; Business owner, sales, management, or self-employed; Often (not always) conservative, religious, rural/suburban",0.2,"Absolute minimum. Will argue for zero.","Loud, aggressive defense advocate. May alienate some jurors.","STRIKE IMMEDIATELY or challenge for cause if possible.","KEEP but be aware he may be too aggressive and turn off moderate jurors.",5,1,,,,,,,,,,2,"Business Professional(POSITIVE:0.80); Age 51+(POSITIVE:0.70)",true,2026-01-28T14:05:24.941Z,2026-01-29T16:46:29.459Z
5eed57cf-5183-423a-b083-22263fcd41d3,"Offer-It-Up Olive","Offer-It-Up Olive","Husband was first responder who developed cancer from 9/11 exposure. Despite clear causation, she refused to sue or join victim fund - believes suffering should be 'offered up to God.' Raised to never sue. Sees lawsuits as rejecting God's plan and being ungrateful.","Suffering is part of God's plan. Money doesn't heal anything.",BOOT_04,bootstrapper,1,,,2,system,,"Deep religious belief that lawsuits reject God's will.",67,female,white,"Staten Island, NY (suburban)","High school","Retired Secretary",38000,"Widowed (husband died of 9/11-related cancer), 4 adult kids","Catholic (very devout)","Republican",,,,,,,,,,,,,,"God has a plan for everything; We don't sue people in my family; You offer it up to God; Money doesn't fix anything; My husband died and I never asked for a dime",,,,"Will argue plaintiff contributed to their own injury. Will minimize damages ('that's not worth a million dollars'). Will resist emotional appeals. Often vocal and may try to lead.",,,,,,,,"STRONG DEFENSE","People are responsible for their own outcomes. Injuries happen because people weren't careful. Lawsuits are usually money grabs. Corporations create jobs and shouldn't be punished for every accident.","Stories about overcoming hardship without help or lawsuits; Phrases like 'personal responsibility,' 'nobody forced them,' 'common sense'; Skepticism about lawsuits, insurance costs, 'lottery justice'; Business owner, sales, management, or self-employed; Often (not always) conservative, religious, rural/suburban",0.15,"Will award almost nothing. Believes money for suffering is wrong.","Quiet but immovable. May be holdout for defense.","CHALLENGE FOR CAUSE. Her beliefs prevent her from awarding damages.","KEEP. Unshakeable defense vote.",5,1,,,,,,,,,,1,"Age 51+(POSITIVE:0.70)",true,2026-01-28T14:05:24.942Z,2026-01-29T16:46:29.461Z
20257ca3-e09b-46d4-b306-9b410bbf9114,"Stoic-Farm-Wife Fran","Stoic-Farm-Wife Fran","Grew up on farm, married a farmer. Has weathered droughts, floods, cattle disease, and injuries. Husband broke arm in combine accident - never considered suing equipment manufacturer. Views lawsuits as failure of character and community. Deeply distrusts 'city lawyers.'","We don't sue our neighbors. We help them fix the fence.",BOOT_08,bootstrapper,1,,,2,system,,"Rural values. Lawsuits are shameful. Handle problems yourself.",55,female,white,"Rural Iowa (farm)","Associate's - Nursing","Part-time Nurse / Farm Wife",45000,"Married 32 years, 3 kids","Lutheran","Republican",,,,,,,,,,,,,,"We handle things ourselves out here; A lawsuit would destroy a family's reputation; City people sue over every little thing; If you can't tough it out, farming isn't for you; We don't sue our neighbors",,,,"Will argue plaintiff contributed to their own injury. Will minimize damages ('that's not worth a million dollars'). Will resist emotional appeals. Often vocal and may try to lead.",,,,,,,,"STRONG DEFENSE","People are responsible for their own outcomes. Injuries happen because people weren't careful. Lawsuits are usually money grabs. Corporations create jobs and shouldn't be punished for every accident.","Stories about overcoming hardship without help or lawsuits; Phrases like 'personal responsibility,' 'nobody forced them,' 'common sense'; Skepticism about lawsuits, insurance costs, 'lottery justice'; Business owner, sales, management, or self-employed; Often (not always) conservative, religious, rural/suburban",0.25,"Minimal. Views large awards as shameful greed.","Quiet but firm. Rural common sense perspective.","STRIKE. Her worldview opposes lawsuits fundamentally.","KEEP. Solid defense vote.",5,1,,,,,,,,,,2,"Healthcare Professional(POSITIVE:0.80); Age 51+(POSITIVE:0.70)",true,2026-01-28T14:05:24.951Z,2026-01-29T16:46:29.465Z
9c234bc7-25f4-4167-a1dd-325b774e71d9,"Sued-And-Bitter Betty","Sued-And-Bitter Betty","Sued twice by customers claiming slip-and-fall injuries. Believes both were fraudulent. First case settled (felt like extortion), second dismissed after $45K in legal fees. Nearly lost her business. Deeply hostile to plaintiffs and their attorneys.","I was sued for something that wasn't my fault. I know how this game works.",BOOT_06,bootstrapper,1,,,2,system,,"Was defendant in lawsuit. Traumatized. Sees all plaintiffs as scammers.",49,female,white,"Boise, ID (suburban)","Some college","Small Business Owner (gift shop)",72000,"Married, 2 kids","Non-denominational Christian","Republican",,,,,,,,,,,,,,"I've been on the other side of this; Do you know what it costs to defend yourself?; People lie to get money; I know how this game works; I nearly lost my business over a lying customer",,,,"Will argue plaintiff contributed to their own injury. Will minimize damages ('that's not worth a million dollars'). Will resist emotional appeals. Often vocal and may try to lead.",,,,,,,,"STRONG DEFENSE","People are responsible for their own outcomes. Injuries happen because people weren't careful. Lawsuits are usually money grabs. Corporations create jobs and shouldn't be punished for every accident.","Stories about overcoming hardship without help or lawsuits; Phrases like 'personal responsibility,' 'nobody forced them,' 'common sense'; Skepticism about lawsuits, insurance costs, 'lottery justice'; Business owner, sales, management, or self-employed; Often (not always) conservative, religious, rural/suburban",0.2,"Minimum possible. Deep suspicion of all claims.","Will share her story. Projects her experience onto case.","CHALLENGE FOR CAUSE or strike. Her trauma makes her incapable of fairness.","KEEP. She'll fight for you based on personal experience.",5,1,,,,,,,,,,2,"Business Professional(POSITIVE:0.80); Age 31-50(POSITIVE:0.70)",true,2026-01-28T14:05:24.947Z,2026-01-29T16:46:29.494Z
365d749d-1fe1-4db0-bc9d-de13e18450af,"Tough-Love Tina","Tough-Love Tina","Divorced from 'lazy' husband when kids were young. Worked two jobs while getting associate's degree. Raised two kids alone and put them through college. Brother is on disability - she believes he could work if he tried. Sees her success as proof that excuses are just that.","I raised two kids alone working two jobs. Don't tell me about hardship.",BOOT_02,bootstrapper,1,,,2,system,,"Overcame real adversity. Resents people who 'can't handle' what she handled.",52,female,white,"Columbus, OH (suburban)","Associate's - Business","Office Manager",58000,"Divorced, 2 adult kids","Catholic","Republican",,,,,,,,,,,,,,"I raised two kids alone and never asked for a handout; Excuses are just that - excuses; If I could do it, anyone can; Some people just want the easy way out",,,,"Will argue plaintiff contributed to their own injury. Will minimize damages ('that's not worth a million dollars'). Will resist emotional appeals. Often vocal and may try to lead.",,,,,,,,"STRONG DEFENSE","People are responsible for their own outcomes. Injuries happen because people weren't careful. Lawsuits are usually money grabs. Corporations create jobs and shouldn't be punished for every accident.","Stories about overcoming hardship without help or lawsuits; Phrases like 'personal responsibility,' 'nobody forced them,' 'common sense'; Skepticism about lawsuits, insurance costs, 'lottery justice'; Business owner, sales, management, or self-employed; Often (not always) conservative, religious, rural/suburban",0.35,"Will reduce significantly. 'Life isn't fair.'","Shares personal story as counter to plaintiff sympathy.","STRIKE. Her story will undercut sympathy for your client.","KEEP. Credible voice for personal responsibility.",5,1,,,,,,,,,,2,"Business Professional(POSITIVE:0.80); Age 51+(POSITIVE:0.70)",true,2026-01-28T14:05:24.938Z,2026-01-29T16:46:29.419Z
